"Id","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","annee_insta","site","adresse","arrond","adresse_com","acces","horaires_no","horaires_va","horaires_va_1"
1,"","","","","","",-1,0,-1,"","","2008/2009","Stade Jean Pierre Wimille","56 Bd de l'Amiral Bruix",75016,"56 Bd de l'Amiral Bruix 75016 Paris  France","Intérieur","7h à 22h30","8h à 18h","fermé"
2,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Poissonniers","2 rue Jean Cocteau",75018,"2 rue Jean Cocteau 75018 Paris  France","Extérieur","","",""
3,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Déjérine","34 rue des docteurs Déjérine",75020,"34 rue des docteurs Déjérine 75020 Paris  France","Intérieur","","","fermé"
4,"","","","","","",-1,0,-1,"","",2010,"Kiosque jeunes Goutte D'Or","1 rue Fleury Centre Musical",75018,"1 rue Fleury Centre Musical 75018 Paris  France","Intérieur","","","fermé"
5,"","","","","","",-1,0,-1,"","",2010,"Antenne jeunes Olympiades","32 rue du Javelot Tour Anvers",75013,"32 rue du Javelot Tour Anvers 75013 Paris  France","Extérieur","","",""
6,"","","","","","",-1,0,-1,"","",2010,"Espace jeunes Charles Hermitte","54 Bd Ney",75018,"54 Bd Ney 75018 Paris  France","Intérieur","10h à 20h","","10h à 20h"
7,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Léo Lagrange","68 Bd Poniatowsky",75012,"68 Bd Poniatowsky 75012 Paris  France","Intérieur","8h à 22h","8h à 21h","8h à 17h"
8,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Jules Noël","3 Av Maurice D'Ocagne",75014,"3 Av Maurice D'Ocagne 75014 Paris  France","Intérieur","8h à 22h30","8h à 22h","9h à 22h30"
9,"","","","","","",-1,0,-1,"","","2008/2009","Gymnase Cévennes","11 rue de la Montagne d'Aulas",75015,"11 rue de la Montagne d'Aulas 75015 Paris  France","Intérieur","7h à 22h30","8h à 16h","7h à 19h"
10,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Max Rousié","28 rue André Bréchet",75017,"28 rue André Bréchet 75017 Paris  France","Intérieur","8h à 21h30","8h à 21h","8h à 21h30"
11,"","","","","","",-1,0,-1,"","","2008/2009","Gymnase Jean Jaurès","87 Av J.Jaurès",75019,"87 Av J.Jaurès 75019 Paris  France","Intérieur","7h à 22h30","8h à 17h","fermé"
12,"","","","","","",-1,0,-1,"","",2010,"Kiosque jeunes Champ de Mars","101 Quai Branly",75015,"101 Quai Branly 75015 Paris  France","Intérieur","10h à 18h","10h à 18h","10h à 18h"
13,"","","","","","",-1,0,-1,"","",2010,"Antenne jeunes Flandre","49 ter Av de Flandre",75019,"49 ter Av de Flandre 75019 Paris  France","Intérieur","","14h à 19h","14h à 19h"
14,"","","","","","",-1,0,-1,"","",2010,"Centre d'animation Vercingétorix","181/183 rue de Vercingétorix",75014,"181/183 rue de Vercingétorix 75014 Paris  France","Intérieur","10h à 18h","10h à 18h","10h à 17h"
15,"","","","","","",-1,0,-1,"","",2010,"Espace jeunes Goutte D'Or","6 rue de la Goutte d'Or",75018,"6 rue de la Goutte d'Or 75018 Paris  France","Intérieur","14h à 21h","","14h à 21h"
16,"","","","","","",-1,0,-1,"","",2010,"Espace jeunes St Blaise","1 rue Pauline Kergomard",75020,"1 rue Pauline Kergomard 75020 Paris  France","Intérieur","10h30 à 19h","14h à 19h","14h à 19h"
17,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Grange aux belles","17 rue Boy-Zelenski",75010,"17 rue Boy-Zelenski 75010 Paris  France","Intérieur","8h à 22h30","9h à 21h","9h à 22h30"
18,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Bourneville","5 rue du docteur Bourneville",75013,"5 rue du docteur Bourneville 75013 Paris  France","Intérieur","7h à 22h30","","13h à 22h30"
19,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Georges Carpentier","81 Bd Masséna",75013,"81 Bd Masséna 75013 Paris  France","Intérieur","8h à 22h","8h à 22h","8h à 22h"
20,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Goutte d'Or","10-12 passage de la Goutte d'Or",75018,"10-12 passage de la Goutte d'Or 75018 Paris  France","Intérieur","7h à 22h30","9h à 17h30","8h à 18h"
21,"","","","","","",-1,0,-1,"","",2010,"Antenne jeunes Orillon","43 rue de l'Orillon",75011,"43 rue de l'Orillon 75011 Paris  France","Extérieur","","",""
22,"","","","","","",-1,0,-1,"","","2008/2009","Gymnase Patriarches","6 Place Bernard Halphen",75005,"6 Place Bernard Halphen 75005 Paris  France","Intérieur","7h à 22h30","7h à 14h","7h à 22h30"
23,"","","","","","",-1,0,-1,"","","2008/2009","Gymnase Buffault","26 rue Buffault",75009,"26 rue Buffault 75009 Paris  France","Intérieur","9h à 22h30","7h à 15h","9h à 22h30"
24,"","","","","","",-1,0,-1,"","","2008/2009","Centre spotif Paul Valéry","15 rue de la Nouvelle Calédonie",75012,"15 rue de la Nouvelle Calédonie 75012 Paris  France","Intérieur","8h à 22h","8h à 22h","8h à 22h"
25,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Elisabeth","7-15 Av Paul Appell",75014,"7-15 Av Paul Appell 75014 Paris  France","Intérieur","8h à 22h30","8h à 22h","8h à 22h30"
26,"","","","","","",-1,0,-1,"","",2010,"Centre d'animation Jemmapes","116 Quai de Jemmapes",75010,"116 Quai de Jemmapes 75010 Paris  France","Intérieur","9h à 22h","10h à 19h","9h à 22h"
27,"","","","","","",-1,0,-1,"","",2010,"Centre d'animation Place des Fêtes","2/4 rue des Lilas",75019,"2/4 rue des Lilas 75019 Paris  France","Intérieur","11h à 22h","","fermé"
28,"","","","","","",-1,0,-1,"","","2008/2009","TEP Neuve St Pierre","5-7 rue Neuve St Pierre",75004,"5-7 rue Neuve St Pierre 75004 Paris  France","Intérieur","8h à 22h","8h à 22h","8h à 22h"
29,"","","","","","",-1,0,-1,"","","2008/2009","Gymnase Japy","2 rue Jappy",75011,"2 rue Jappy 75011 Paris  France","Intérieur","","7h à 16h","fermé"
30,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Rigoulot","18 Av de la Porte de Brancion",75015,"18 Av de la Porte de Brancion 75015 Paris  France","Intérieur","7h à 22h30","7h à 22h","7h à 22h30"
31,"","","","","","",-1,0,-1,"","","2008/2009","Centre sportif Jules Ladoumègue","Place de la Porte de Pantin",75019,"Place de la Porte de Pantin 75019 Paris  France","Intérieur","8h à 22h","7h à 20h","8h à 22h"
